fact_id,campaign_id,customer_id,channel_id,record_date,device,country,impressions,clicks,conversions,spend,revenue
1,1383,712,12,7-Aug-19,Desktop,Mexico,638,17,1,11.04,
2,2990,499,8,26-Nov-21,Smartphone,Brazil,15966,174,1,96.12,44.6
3,881,3008,5,11-Feb-22,Mobile,USA,825,5,0,18.7,0
4,5294,1091,11,11/9/2019,Desktop,United States,13690,733,28,76.45,5368.73
5,3430,4583,9,16-Jul-22,Desktop,South Africa,2132,41,1,19.13,87.99
6,624,2195,2,26-06-2019,Mobile,United States,1428,21,0,20.01,0
7,2956,4254,12,10-Jan-21,Mobile,United States,228,6,0,3.87,0
8,4021,1023,2,16-Oct-22,Desktop,United States,926,11,0,7.99,0
9,187,2470,13,11/20/2020,Mobile,Indonesia,2344,122,4,2.39,
10,925,4376,14,7/10/2023,Desktop,United States,17659,17839,40,10.08,4944.11
11,4037,3381,11,25-Oct-19,Desktop,Netherlands,10509,405,18,45.05,1680.62
12,1155,2739,5,4/7/2020,Desktop,Mexico,10270,79,1,316.93,145.93
13,559,657,4,28-May-23,Desktop,Brazil,21135,272,5,159.66,279.03
14,4852,2646,6,11/9/2022,Tablet,United Arab Emirates,3905,13,0,15.32,0
15,2121,232,14,7/9/2020,Desktop,Brazil,4654,203,9,4.35,2269.66
16,5088,4826,1,22-Aug-23,Desktop,United States,5316,93,3,101.33,240.01
17,2703,4455,10,6/12/2024,Tablet,Brazil,912,2,0,0.65,0
18,2261,5001,7,4/20/2022,Desktop,Canada,517,1,0,0.69,0
19,1105,4965,11,31-Oct-22,Desktop,South Africa,2763,152,8,10.56,303.88
20,2100,4920,10,6/24/2023,Desktop,France,6178,39,0,12.47,0
21,4213,699,12,16-Jan-19,PC,Brazil,710,17,1,9.7,186.83
22,165,2496,10,2-Jul-19,Mobile,Mexico,694,1,0,0.39,0
23,2301,2563,2,11/8/2022,Mobile,Saudi Arabia,27770,544,10,487.57,655.25
24,848,4754,10,2-Oct-19,Mobile,  Mexico  ,393,1,0,0.46,0
25,3687,4973,11,7/7/2024,Desktop,India,1893,60,3,5.78,261.77
26,4248,3083,13,2/4/2019,Desktop,United States,888,56,3,1.05,196.36
27,1650,3043,12,21-04-2020,Tablet,Mexico,1674,26,0,15.23,0
28,4085,4378,11,8/18/2022,Mobile,United States,2245,114,3,10.39,554.08
29,4464,3463,5,15-01-2024,Mobile,GERMANY,123,0,0,0,0
30,650,,4,11/23/2022, Desktop,Saudi Arabia,3514,75,1,49.87,57.21
31,1167,4659,14,21-Dec-23,Desktop,India,1629,44,3,0.79,189.34
32,3999,4159,7,29-Dec-21,Mobile,Germany,341,4,0,3.13,0
33,1919,2594,10,5/8/2021,Desktop,Italy,751,3,0,0.94,0
34,4392,1668,11,23-Jul-24,Desktop,Nigeria,2441,111,3,10.21,344.7
35,4378,4182,2,4-May-24,Desktop,United Kingdom,531,10,0,8.94,0
36,1087,5028,15,1/7/2019,Mobile,Brazil,691,12,0,7.99,0
37,2312,2915,15,16-Feb-22,Desktop,United Kingdom,173,3,0,2.14,0
38,3636,4048,11,30-06-2023,Desktop,India,3580,198,11,18.1,1265.29
39,2405,4360,12,15-02-2019,Mobile,Spain,7399,151,9,82.45,1263.55
40,3242,1991,1,12/6/2024,Desktop,Brazil,606,20,0,20.72,0
41,300,4572,6,10/13/2019,Tablet,  Japan  ,1871,18,0,15.02,0
42,464,3210,12,6-Feb-20,Mobile,South Africa,104,2,0,1.09,0
43,1015,4800,3,13-11-2022,Desktop,Italy,1808,26,0,21.25,0
44,3234,1432,11,28-Mar-24,Desktop,Philippines,1091,48,3,4.9,235.26
45,1849,1095,1,9/14/2020,Tablet,India,3423,60,2,74.23,218.92
46,2243,2759,15,24-Mar-23,Mobile,US,923,8,0,7.91,0
47,4580,1352,1,9-Oct-23,mobile,Germany,2782,113,8,138.11,979.1
48,1236,4052,9,5-Jun-23,Mobile,Netherlands,1673,42,1,20.94,88.28
49,1801,3516,15,6/9/2023,Tablet,Australia,723,13,0,10.15,0
50,3582,1985,4,30-Sep-22,Smartphone,UK,612,4,0,2.7,0
51,3921,5043,8,6/20/2021,Mobile,India,2061,28,0,21.13,0
52,3359,5088,12,9/5/2023,Mobile,Mexico,19634,406,8,213.29,576.6
53,4564,1720,4,7/17/2021,Desktop,United Kingdom,4028,72,1,43.45,127.88
54,3749,3409,12,7/8/2024,Mobile,Italy,625,16,0,10.1,
55,3242,4961,1,11/27/2024,Mobile,United Kingdom,6492,164,6,208.17,465.48
56,756,4521,15,21-Jun-19,Mobile,Germany,104,1,0,0.91,
57,32,147,9,24-Nov-19,Mobile,Canada,372,7,0,3.47,0
58,375,914,12,5/11/2021,Desktop,Nigeria,3241,89,3,43.82,442.7
59,4872,4926,8,10/4/2024,Tablet,Egypt,2035,29,0,14.87,0
60,1254,305,14,3/14/2024,Mobile,United States,865,19,0,0.31,0
61,2667,3126,8,30-04-2024,Mobile,Germany,19464,274,4,227.78,295.89
62,2956,1501,12,1/3/2021,Mobile,Germany,7689,175,5,119.6,397.74
63,4359,3701,9,6/5/2023,Desktop,Mexico,1255,26,0,12.2,0
64,235,3934,7,11/4/2019,Mobile,United States,316,3,0,2.65,0
65,4281,176,7,7/10/2022,Mobile,France,5827,61,1,52.22,69.23
66,1204,4742,7,2-Jun-19,Mobile,United Kingdom,14437,206,6,144.01,212.9
67,904,3707,9,1/20/2021,Mobile,Australia,742,13,0,5.19,0
68,333,3181,2,7/8/2020,Tablet,  Italy  ,3713,47,0,48.28,0
69,1508,4249,12,30-Sep-23,Mobile,UNITED KINGDOM,3144,56,2,33.93,366.57
70,142,999,2,31-Aug-21,Tablet,Canada,8105,7,0,98.87977051,0
71,4251,4326,13,6/24/2021,Desktop,India,868,34,1,0.74,55.53
72,2537,3462,13,5/7/2019,Mobile,United States,1152,51,1,0.93,73.94
73,620,4989,13,11/25/2023,Mobile,Canada,2064,127,5,1.83,354.92
74,2383,3279,10,28-Dec-23,Desktop,United Kingdom,643,2,1,0,0
75,2611,41,14,3/16/2024,MOBILE,  France  ,3646,119,7,2.44,998.6
76,5034,4916,6,5/14/2020,Tablet,Spain,7145,53,1,65.87,104.38
77,3524,4888,10,8/28/2019,Mobile,India,28274,71,0,32.13,0
78,4360,2331,15,2/16/2021, Desktop,Australia,2575,30,1,27.92,92.91
79,3297,876,7,8-Dec-22,Tablet,India,122,1,0,0.69,0
80,1216,4833,7,7/11/2022,Mobile,India,2827,34,0,26.45,0
81,168,2247,12,1/15/2025,Desktop,Japan,4731,176,9,0,1362.96
82,1258,3470,8,25-Jan-23,Mobile,United Arab Emirates,1239,15,0,10.31,0
83,1095,2571,13,6-Sep-23,Mobile,India,4307,182,7,3.8,
84,611,3692,15,12/22/2021,Desktop,Spain,8484,181,5,141.51,590.34
85,2699,1014,6,9/13/2021,Desktop,France,3363,49,0,56.31,0
86,210,4502,10,1/29/2021,Desktop,United Kingdom,2806,14,0,5.25,0
87,1616,61,7,8-Jan-24,Mobile,United States,526,5,0,3.39,0
88,1319,552,2,7/12/2020,,Philippines,5750,72,1,45.38,84.2
89,3826,4728,9,1/12/2022,Desktop,United Kingdom,264,4,1,0,0
90,3568,2701,13,14-Dec-24,Mobile,Mexico,2619,94,4,1.84,222.89
91,1337,1886,1,28-Jun-24,Mobile,PHILIPPINES,554,14,0,16.95,0
92,3120,,7,7/16/2020, Desktop,France,1290,22,0,17.38,0
93,1724,1402,13,7-Nov-23,Desktop,France,7648,352,8,6.69,824.29
94,210,2853,10,3-Dec-20, Tablet ,United States,701,1,0,0.46,
95,1526,335,14,26-07-2019,Mobile,Philippines,1003,21,0,0.45,0
96,637,1165,9,3/8/2022,Mobile,Brazil,2356,35,1,22.84,143.56
97,1803,133,6,1/26/2022,Desktop,Australia,8998,125,2,123.55,115.9
98,2296,3972,9,9/15/2020,Mobile,India,1094,22,0,12.21,0
99,3533,744,6,2-Jan-23,mobile,United Arab Emirates,1423,14,0,14.88,0
100,415,1307,9,3/26/2023,Mobile,United States,7216,157,4,53.95,466.33
101,2896,3072,13,10/30/2022,Tablet,Germany,4286,90,3,1.83,230.85
102,1527,2773,13,24-Feb-21,Desktop,Australia,3713,202,4,3.15,570.71
103,3501,5113,14,9/20/2022,Mobile,Japan,1319,32,1,0.64,66.28
104,3837,3120,9,12-May-19,Tablet,Indonesia,1668,15,0,6.29,0
105,5086,216,8,10/7/2023,Mobile,Spain,1562,22,0,15.19,0
106,1059,3563,15,30-May-23,Mobile,Canada,740,12,0,10.77,
