date_id,full_date,day,month,month_name,quarter,year,day_of_week,is_weekend
1,1/1/2019,1,1,January,1,2019,Tuesday,FALSE
2,1/2/2019,2,1,January,1,2019,Wednesday,FALSE
3,1/3/2019,3,1,January,1,2019,Thursday,FALSE
4,1/4/2019,4,1,January,1,2019,Friday,FALSE
5,1/5/2019,5,1,January,1,2019,Saturday,TRUE
6,1/6/2019,6,1,January,1,2019,Sunday,TRUE
7,1/7/2019,7,1,January,1,2019,Monday,FALSE
8,1/8/2019,8,1,January,1,2019,Tuesday,FALSE
9,1/9/2019,9,1,January,1,2019,Wednesday,FALSE
10,1/10/2019,10,1,January,1,2019,Thursday,FALSE
11,1/11/2019,11,1,January,1,2019,Friday,FALSE
12,1/12/2019,12,1,January,1,2019,Saturday,TRUE
13,1/13/2019,13,1,January,1,2019,Sunday,TRUE
14,1/14/2019,14,1,January,1,2019,Monday,FALSE
15,1/15/2019,15,1,January,1,2019,Tuesday,FALSE
16,1/16/2019,16,1,January,1,2019,Wednesday,FALSE
17,1/17/2019,17,1,January,1,2019,Thursday,FALSE
18,1/18/2019,18,1,January,1,2019,Friday,FALSE
19,1/19/2019,19,1,January,1,2019,Saturday,TRUE
20,1/20/2019,20,1,January,1,2019,Sunday,TRUE
21,1/21/2019,21,1,January,1,2019,Monday,FALSE
22,1/22/2019,22,1,January,1,2019,Tuesday,FALSE
23,1/23/2019,23,1,January,1,2019,Wednesday,FALSE
24,1/24/2019,24,1,January,1,2019,Thursday,FALSE
25,1/25/2019,25,1,January,1,2019,Friday,FALSE
26,1/26/2019,26,1,January,1,2019,Saturday,TRUE
27,1/27/2019,27,1,January,1,2019,Sunday,TRUE
28,1/28/2019,28,1,January,1,2019,Monday,FALSE
29,1/29/2019,29,1,January,1,2019,Tuesday,FALSE
30,1/30/2019,30,1,January,1,2019,Wednesday,FALSE
31,1/31/2019,31,1,January,1,2019,Thursday,FALSE
32,2/1/2019,1,2,February,1,2019,Friday,FALSE
33,2/2/2019,2,2,February,1,2019,Saturday,TRUE
34,2/3/2019,3,2,February,1,2019,Sunday,TRUE
35,2/4/2019,4,2,February,1,2019,Monday,FALSE
36,2/5/2019,5,2,February,1,2019,Tuesday,FALSE
37,2/6/2019,6,2,February,1,2019,Wednesday,FALSE
38,2/7/2019,7,2,February,1,2019,Thursday,FALSE
39,2/8/2019,8,2,February,1,2019,Friday,FALSE
40,2/9/2019,9,2,February,1,2019,Saturday,TRUE
41,2/10/2019,10,2,February,1,2019,Sunday,TRUE
42,2/11/2019,11,2,February,1,2019,Monday,FALSE
43,2/12/2019,12,2,February,1,2019,Tuesday,FALSE
44,2/13/2019,13,2,February,1,2019,Wednesday,FALSE
45,2/14/2019,14,2,February,1,2019,Thursday,FALSE
46,2/15/2019,15,2,February,1,2019,Friday,FALSE
47,2/16/2019,16,2,February,1,2019,Saturday,TRUE
48,2/17/2019,17,2,February,1,2019,Sunday,TRUE
49,2/18/2019,18,2,February,1,2019,Monday,FALSE
50,2/19/2019,19,2,February,1,2019,Tuesday,FALSE
51,2/20/2019,20,2,February,1,2019,Wednesday,FALSE
52,2/21/2019,21,2,February,1,2019,Thursday,FALSE
53,2/22/2019,22,2,February,1,2019,Friday,FALSE
54,2/23/2019,23,2,February,1,2019,Saturday,TRUE
55,2/24/2019,24,2,February,1,2019,Sunday,TRUE
56,2/25/2019,25,2,February,1,2019,Monday,FALSE
57,2/26/2019,26,2,February,1,2019,Tuesday,FALSE
58,2/27/2019,27,2,February,1,2019,Wednesday,FALSE
59,2/28/2019,28,2,February,1,2019,Thursday,FALSE
60,3/1/2019,1,3,March,1,2019,Friday,FALSE
61,3/2/2019,2,3,March,1,2019,Saturday,TRUE
62,3/3/2019,3,3,March,1,2019,Sunday,TRUE
63,3/4/2019,4,3,March,1,2019,Monday,FALSE
64,3/5/2019,5,3,March,1,2019,Tuesday,FALSE
65,3/6/2019,6,3,March,1,2019,Wednesday,FALSE
66,3/7/2019,7,3,March,1,2019,Thursday,FALSE
67,3/8/2019,8,3,March,1,2019,Friday,FALSE
68,3/9/2019,9,3,March,1,2019,Saturday,TRUE
69,3/10/2019,10,3,March,1,2019,Sunday,TRUE
70,3/11/2019,11,3,March,1,2019,Monday,FALSE
71,3/12/2019,12,3,March,1,2019,Tuesday,FALSE
72,3/13/2019,13,3,March,1,2019,Wednesday,FALSE
73,3/14/2019,14,3,March,1,2019,Thursday,FALSE
74,3/15/2019,15,3,March,1,2019,Friday,FALSE
75,3/16/2019,16,3,March,1,2019,Saturday,TRUE
76,3/17/2019,17,3,March,1,2019,Sunday,TRUE
77,3/18/2019,18,3,March,1,2019,Monday,FALSE
78,3/19/2019,19,3,March,1,2019,Tuesday,FALSE
79,3/20/2019,20,3,March,1,2019,Wednesday,FALSE
80,3/21/2019,21,3,March,1,2019,Thursday,FALSE
81,3/22/2019,22,3,March,1,2019,Friday,FALSE
82,3/23/2019,23,3,March,1,2019,Saturday,TRUE
83,3/24/2019,24,3,March,1,2019,Sunday,TRUE
84,3/25/2019,25,3,March,1,2019,Monday,FALSE
85,3/26/2019,26,3,March,1,2019,Tuesday,FALSE
86,3/27/2019,27,3,March,1,2019,Wednesday,FALSE
87,3/28/2019,28,3,March,1,2019,Thursday,FALSE
88,3/29/2019,29,3,March,1,2019,Friday,FALSE
89,3/30/2019,30,3,March,1,2019,Saturday,TRUE
90,3/31/2019,31,3,March,1,2019,Sunday,TRUE
91,4/1/2019,1,4,April,2,2019,Monday,FALSE
92,4/2/2019,2,4,April,2,2019,Tuesday,FALSE
93,4/3/2019,3,4,April,2,2019,Wednesday,FALSE
94,4/4/2019,4,4,April,2,2019,Thursday,FALSE
95,4/5/2019,5,4,April,2,2019,Friday,FALSE
96,4/6/2019,6,4,April,2,2019,Saturday,TRUE
97,4/7/2019,7,4,April,2,2019,Sunday,TRUE
98,4/8/2019,8,4,April,2,2019,Monday,FALSE
99,4/9/2019,9,4,April,2,2019,Tuesday,FALSE
100,4/10/2019,10,4,April,2,2019,Wednesday,FALSE
101,4/11/2019,11,4,April,2,2019,Thursday,FALSE
102,4/12/2019,12,4,April,2,2019,Friday,FALSE
103,4/13/2019,13,4,April,2,2019,Saturday,TRUE
104,4/14/2019,14,4,April,2,2019,Sunday,TRUE
105,4/15/2019,15,4,April,2,2019,Monday,FALSE
106,4/16/2019,16,4,April,2,2019,Tuesday,FALSE
107,4/17/2019,17,4,April,2,2019,Wednesday,FALSE
108,4/18/2019,18,4,April,2,2019,Thursday,FALSE
109,4/19/2019,19,4,April,2,2019,Friday,FALSE
110,4/20/2019,20,4,April,2,2019,Saturday,TRUE
111,4/21/2019,21,4,April,2,2019,Sunday,TRUE
112,4/22/2019,22,4,April,2,2019,Monday,FALSE
113,4/23/2019,23,4,April,2,2019,Tuesday,FALSE
114,4/24/2019,24,4,April,2,2019,Wednesday,FALSE
115,4/25/2019,25,4,April,2,2019,Thursday,FALSE
116,4/26/2019,26,4,April,2,2019,Friday,FALSE
117,4/27/2019,27,4,April,2,2019,Saturday,TRUE
118,4/28/2019,28,4,April,2,2019,Sunday,TRUE
119,4/29/2019,29,4,April,2,2019,Monday,FALSE
120,4/30/2019,30,4,April,2,2019,Tuesday,FALSE
121,5/1/2019,1,5,May,2,2019,Wednesday,FALSE
122,5/2/2019,2,5,May,2,2019,Thursday,FALSE
123,5/3/2019,3,5,May,2,2019,Friday,FALSE
124,5/4/2019,4,5,May,2,2019,Saturday,TRUE
125,5/5/2019,5,5,May,2,2019,Sunday,TRUE
126,5/6/2019,6,5,May,2,2019,Monday,FALSE
127,5/7/2019,7,5,May,2,2019,Tuesday,FALSE
128,5/8/2019,8,5,May,2,2019,Wednesday,FALSE
129,5/9/2019,9,5,May,2,2019,Thursday,FALSE
130,5/10/2019,10,5,May,2,2019,Friday,FALSE
131,5/11/2019,11,5,May,2,2019,Saturday,TRUE
132,5/12/2019,12,5,May,2,2019,Sunday,TRUE
133,5/13/2019,13,5,May,2,2019,Monday,FALSE
134,5/14/2019,14,5,May,2,2019,Tuesday,FALSE
135,5/15/2019,15,5,May,2,2019,Wednesday,FALSE
136,5/16/2019,16,5,May,2,2019,Thursday,FALSE
137,5/17/2019,17,5,May,2,2019,Friday,FALSE
138,5/18/2019,18,5,May,2,2019,Saturday,TRUE
139,5/19/2019,19,5,May,2,2019,Sunday,TRUE
140,5/20/2019,20,5,May,2,2019,Monday,FALSE
141,5/21/2019,21,5,May,2,2019,Tuesday,FALSE
142,5/22/2019,22,5,May,2,2019,Wednesday,FALSE
143,5/23/2019,23,5,May,2,2019,Thursday,FALSE
144,5/24/2019,24,5,May,2,2019,Friday,FALSE
145,5/25/2019,25,5,May,2,2019,Saturday,TRUE
146,5/26/2019,26,5,May,2,2019,Sunday,TRUE
147,5/27/2019,27,5,May,2,2019,Monday,FALSE
148,5/28/2019,28,5,May,2,2019,Tuesday,FALSE
149,5/29/2019,29,5,May,2,2019,Wednesday,FALSE
150,5/30/2019,30,5,May,2,2019,Thursday,FALSE
151,5/31/2019,31,5,May,2,2019,Friday,FALSE
152,6/1/2019,1,6,June,2,2019,Saturday,TRUE
153,6/2/2019,2,6,June,2,2019,Sunday,TRUE
154,6/3/2019,3,6,June,2,2019,Monday,FALSE
155,6/4/2019,4,6,June,2,2019,Tuesday,FALSE
156,6/5/2019,5,6,June,2,2019,Wednesday,FALSE
157,6/6/2019,6,6,June,2,2019,Thursday,FALSE
158,6/7/2019,7,6,June,2,2019,Friday,FALSE
159,6/8/2019,8,6,June,2,2019,Saturday,TRUE
160,6/9/2019,9,6,June,2,2019,Sunday,TRUE
161,6/10/2019,10,6,June,2,2019,Monday,FALSE
162,6/11/2019,11,6,June,2,2019,Tuesday,FALSE
163,6/12/2019,12,6,June,2,2019,Wednesday,FALSE
164,6/13/2019,13,6,June,2,2019,Thursday,FALSE
165,6/14/2019,14,6,June,2,2019,Friday,FALSE
166,6/15/2019,15,6,June,2,2019,Saturday,TRUE
167,6/16/2019,16,6,June,2,2019,Sunday,TRUE
168,6/17/2019,17,6,June,2,2019,Monday,FALSE
169,6/18/2019,18,6,June,2,2019,Tuesday,FALSE
170,6/19/2019,19,6,June,2,2019,Wednesday,FALSE
171,6/20/2019,20,6,June,2,2019,Thursday,FALSE
172,6/21/2019,21,6,June,2,2019,Friday,FALSE
173,6/22/2019,22,6,June,2,2019,Saturday,TRUE
174,6/23/2019,23,6,June,2,2019,Sunday,TRUE
175,6/24/2019,24,6,June,2,2019,Monday,FALSE
176,6/25/2019,25,6,June,2,2019,Tuesday,FALSE
