date_id,full_date,day,month,month_name,quarter,year,day_of_week,is_weekend
1,2019-01-01,1,1,January,1,2019,Tuesday,False
2,2019-01-02,2,1,January,1,2019,Wednesday,False
3,2019-01-03,3,1,January,1,2019,Thursday,False
4,2019-01-04,4,1,January,1,2019,Friday,False
5,2019-01-05,5,1,January,1,2019,Saturday,True
6,2019-01-06,6,1,January,1,2019,Sunday,True
7,2019-01-07,7,1,January,1,2019,Monday,False
8,2019-01-08,8,1,January,1,2019,Tuesday,False
9,2019-01-09,9,1,January,1,2019,Wednesday,False
10,2019-01-10,10,1,January,1,2019,Thursday,False
11,2019-01-11,11,1,January,1,2019,Friday,False
12,2019-01-12,12,1,January,1,2019,Saturday,True
13,2019-01-13,13,1,January,1,2019,Sunday,True
14,2019-01-14,14,1,January,1,2019,Monday,False
15,2019-01-15,15,1,January,1,2019,Tuesday,False
16,2019-01-16,16,1,January,1,2019,Wednesday,False
17,2019-01-17,17,1,January,1,2019,Thursday,False
18,2019-01-18,18,1,January,1,2019,Friday,False
19,2019-01-19,19,1,January,1,2019,Saturday,True
20,2019-01-20,20,1,January,1,2019,Sunday,True
21,2019-01-21,21,1,January,1,2019,Monday,False
22,2019-01-22,22,1,January,1,2019,Tuesday,False
23,2019-01-23,23,1,January,1,2019,Wednesday,False
24,2019-01-24,24,1,January,1,2019,Thursday,False
25,2019-01-25,25,1,January,1,2019,Friday,False
26,2019-01-26,26,1,January,1,2019,Saturday,True
27,2019-01-27,27,1,January,1,2019,Sunday,True
28,2019-01-28,28,1,January,1,2019,Monday,False
29,2019-01-29,29,1,January,1,2019,Tuesday,False
30,2019-01-30,30,1,January,1,2019,Wednesday,False
31,2019-01-31,31,1,January,1,2019,Thursday,False
32,2019-02-01,1,2,February,1,2019,Friday,False
33,2019-02-02,2,2,February,1,2019,Saturday,True
34,2019-02-03,3,2,February,1,2019,Sunday,True
35,2019-02-04,4,2,February,1,2019,Monday,False
36,2019-02-05,5,2,February,1,2019,Tuesday,False
37,2019-02-06,6,2,February,1,2019,Wednesday,False
38,2019-02-07,7,2,February,1,2019,Thursday,False
39,2019-02-08,8,2,February,1,2019,Friday,False
40,2019-02-09,9,2,February,1,2019,Saturday,True
41,2019-02-10,10,2,February,1,2019,Sunday,True
42,2019-02-11,11,2,February,1,2019,Monday,False
43,2019-02-12,12,2,February,1,2019,Tuesday,False
44,2019-02-13,13,2,February,1,2019,Wednesday,False
45,2019-02-14,14,2,February,1,2019,Thursday,False
46,2019-02-15,15,2,February,1,2019,Friday,False
47,2019-02-16,16,2,February,1,2019,Saturday,True
48,2019-02-17,17,2,February,1,2019,Sunday,True
49,2019-02-18,18,2,February,1,2019,Monday,False
50,2019-02-19,19,2,February,1,2019,Tuesday,False
51,2019-02-20,20,2,February,1,2019,Wednesday,False
52,2019-02-21,21,2,February,1,2019,Thursday,False
53,2019-02-22,22,2,February,1,2019,Friday,False
54,2019-02-23,23,2,February,1,2019,Saturday,True
55,2019-02-24,24,2,February,1,2019,Sunday,True
56,2019-02-25,25,2,February,1,2019,Monday,False
57,2019-02-26,26,2,February,1,2019,Tuesday,False
58,2019-02-27,27,2,February,1,2019,Wednesday,False
59,2019-02-28,28,2,February,1,2019,Thursday,False
60,2019-03-01,1,3,March,1,2019,Friday,False
61,2019-03-02,2,3,March,1,2019,Saturday,True
62,2019-03-03,3,3,March,1,2019,Sunday,True
63,2019-03-04,4,3,March,1,2019,Monday,False
64,2019-03-05,5,3,March,1,2019,Tuesday,False
65,2019-03-06,6,3,March,1,2019,Wednesday,False
66,2019-03-07,7,3,March,1,2019,Thursday,False
67,2019-03-08,8,3,March,1,2019,Friday,False
68,2019-03-09,9,3,March,1,2019,Saturday,True
69,2019-03-10,10,3,March,1,2019,Sunday,True
70,2019-03-11,11,3,March,1,2019,Monday,False
71,2019-03-12,12,3,March,1,2019,Tuesday,False
72,2019-03-13,13,3,March,1,2019,Wednesday,False
73,2019-03-14,14,3,March,1,2019,Thursday,False
74,2019-03-15,15,3,March,1,2019,Friday,False
75,2019-03-16,16,3,March,1,2019,Saturday,True
76,2019-03-17,17,3,March,1,2019,Sunday,True
77,2019-03-18,18,3,March,1,2019,Monday,False
78,2019-03-19,19,3,March,1,2019,Tuesday,False
79,2019-03-20,20,3,March,1,2019,Wednesday,False
80,2019-03-21,21,3,March,1,2019,Thursday,False
81,2019-03-22,22,3,March,1,2019,Friday,False
82,2019-03-23,23,3,March,1,2019,Saturday,True
83,2019-03-24,24,3,March,1,2019,Sunday,True
84,2019-03-25,25,3,March,1,2019,Monday,False
85,2019-03-26,26,3,March,1,2019,Tuesday,False
86,2019-03-27,27,3,March,1,2019,Wednesday,False
87,2019-03-28,28,3,March,1,2019,Thursday,False
88,2019-03-29,29,3,March,1,2019,Friday,False
89,2019-03-30,30,3,March,1,2019,Saturday,True
90,2019-03-31,31,3,March,1,2019,Sunday,True
91,2019-04-01,1,4,April,2,2019,Monday,False
92,2019-04-02,2,4,April,2,2019,Tuesday,False
93,2019-04-03,3,4,April,2,2019,Wednesday,False
94,2019-04-04,4,4,April,2,2019,Thursday,False
95,2019-04-05,5,4,April,2,2019,Friday,False
96,2019-04-06,6,4,April,2,2019,Saturday,True
97,2019-04-07,7,4,April,2,2019,Sunday,True
98,2019-04-08,8,4,April,2,2019,Monday,False
99,2019-04-09,9,4,April,2,2019,Tuesday,False
100,2019-04-10,10,4,April,2,2019,Wednesday,False
101,2019-04-11,11,4,April,2,2019,Thursday,False
102,2019-04-12,12,4,April,2,2019,Friday,False
